,League,Date,Week,Game1,Game2,Game3
0,thab_fall_23,10/10/23,1,81,68,87
1,thab_fall_23,10/17/23,2,136,87,98
2,thab_fall_23,10/24/23,3,118,88,115
3,thab_fall_23,10/31/23,4,142,125,95
4,thab_fall_23,11/7/23,5,101,120,83
5,thab_fall_23,11/21/23,6,133,142,101
6,thab_fall_23,12/5/23,8,113,116,130
7,thab_fall_23,12/12/23,9,83,95,106
8,thab_fall_23,12/19/23,10,97,90,98
9,thab_fall_23,1/2/24,12,101,102,115
10,thab_fall_23,1/9/24,13,125,108,110
11,thab_fall_23,1/16/24,14,134,120,102
12,thab_spring_24,1/30/24,1,99,107,97
13,thab_spring_24,2/6/24,2,97,112,88
14,thab_spring_24,2/13/24,3,118,132,143
15,thab_spring_24,2/20/24,4,102,105,111
16,thab_spring_24,2/27/24,5,112,86,118
17,thab_spring_24,3/5/24,6,125,104,107
18,thab_spring_24,3/12/24,7,91,110,100
19,thab_spring_24,4/9/24,11,106,100,140
20,thab_spring_24,4/16/24,12,108,110,116
21,thab_spring_24,4/23/24,13,104,104,134
22,thab_spring_24,4/30/24,14,135,114,112
23,thab_spring_24,5/7/24,15,101,98,108
24,thab_summer_24,5/21/24,1,91,85,111
25,thab_summer_24,5/28/24,2,92,114,106
26,thab_summer_24,6/4/24,3,94,116,107
27,thab_summer_24,6/11/24,4,127,99,109
28,thab_summer_24,6/18/24,5,136,130,124
